0,1,2,3,4,5,6,7
2015,"140,000 km",Petrol,1300 cc,Manual,"22,60000",Toyota Corolla  2015 GLi 1.3 VVTi Special Edit...,
2016,"63,539 km",Petrol,1800 cc,Automatic,3200000,"Honda Civic  2016 VTi Oriel Prosmatec 1.8 i-VT...
8.6/10",
2015,"104,900 km",Petrol,1800 cc,Automatic,"29,50000",Toyota Corolla  2015 Altis Grande CVT-i 1.8 fo...,
2019,"56,000 km",Petrol,1800 cc,Automatic,4200000,Toyota Corolla  2019 Altis Grande CVT-i 1.8 fo...,
2009,"180,000 km",Petrol,1000 cc,Automatic,"18,75000",Toyota Belta  2009 X Business A Package 1.0 fo...,
2011,"109,000 km",Petrol,1600 cc,Automatic,"23,90000",Toyota Corolla  2011 GLi Automatic 1.6 VVTi fo...,
2011,"90,000 km",Petrol,1600 cc,Automatic,2400000,Toyota Corolla  2011 Altis Cruisetronic 1.6 fo...,
2011,"71,000 km",Petrol,1800 cc,Automatic,"56,50000",Mercedes Benz C Class  2011 C200,
2022,"2,100 km",Diesel,2800 cc,Automatic,"95,75000",Toyota Hilux  2022 Revo V Automatic 2.8,
2011,"64,508 km",Petrol,1800 cc,Automatic,5500000,Mercedes Benz C Class  2011 C200,
2021,"5,100 km",Petrol,1600 cc,Manual,"38,50000",Toyota Corolla  2021 Altis Manual 1.6,
2021,"3,100 km",Petrol,1600 cc,Automatic,"48,50000",Toyota Corolla  2021 Altis Automatic 1.6,
2006,"125,000 km",Petrol,1300 cc,Manual,"17,50000",Toyota Corolla 9th Generation 2006 GLi 1.3 for...,
2015,"50,000 km",Petrol,1800 cc,Automatic,3500000,Toyota Corolla  2015 Altis CVT-i 1.8,
2005,"150,000 km",Petrol,1600 cc,Automatic,"11,65000",Honda Civic Eagle Eye 2005 VTi Prosmatec 1.6 f...,
2018,"41,000 km",Petrol,1000 cc,Manual,"19,80000",Suzuki Cultus  2018 VXL,
2012,"88,000 km",Petrol,1300 cc,Manual,"20,50000",Toyota Corolla  2012 GLi 1.3 VVTi,
2021,"65,000 km",Petrol,1200 cc,Automatic,"33,75000",Honda City  2021 1.2L CVT,
2010,"190,222 km",Petrol,1000 cc,Manual,"8,25000",Suzuki Cultus  2010 VXRi,
2011,"89,500 km",Petrol,1300 cc,Manual,"18,20000",Honda City  2011 1.3 i-VTEC,
2009,"103,973 km",Petrol,1500 cc,Automatic,"22,50000",Toyota Prius  2009 G 1.5,
2007,"115,000 km",Petrol,660 cc,Automatic,"12,75000",Others Other  2007,
2013,"170,000 km",Petrol,1300 cc,Manual,"14,95000",Suzuki Swift  2013 DLX 1.3 Navigation,
1994,"76,000 km",Petrol,1800 cc,Automatic,1400000,Toyota Corolla  1994,
2018,"60,000 km",Petrol,1300 cc,Automatic,"26,75000",Honda City  2018 1.3 i-VTEC Prosmatec,
2006,"65,000 km",Petrol,1500 cc,Automatic,2300000,Toyota Corolla 9th Generation 2006,
2017,"880,000 km",Petrol,1800 cc,Automatic,3600000,Honda Civic  2017 Oriel 1.8 i-VTEC CVT,
2006,"30,000 km",Petrol,800 cc,Manual,"2,80000",Adam Revo  2006 797cc,
2013,"92,000 km",Petrol,1300 cc,Manual,"23,25000",Toyota Corolla  2013 GLi 1.3 VVTi,
2014,"131,000 km",Hybrid,1500 cc,Automatic,"27,50000",Toyota Aqua  2014,
2011,"58,000 km",Petrol,800 cc,Manual,"8,73000",Suzuki Mehran  2011 VXR,
2021,"17,000 km",Petrol,660 cc,Automatic,"20,50000",Suzuki Alto  2021 VXL AGS,
